ref_strain	ST	test_strain	rel_abundance
CDIF_111	2	CDIF_1147	5.6000000000000006e-5
CDIF_111	2	CDIF_769	0.002176
CDIF_1122	13	CDIF_1147	2e-5
CDIF_1123	9	CDIF_1378	3.86e-4
CDIF_1124	8	CDIF_1378	1.11e-4
CDIF_1125	395	CDIF_1378	4e-6
CDIF_1126	2	CDIF_1231	0.040385
CDIF_1126	2	CDIF_1378	1.9e-5
CDIF_1127	2	CDIF_1378	2e-6
CDIF_1127	2	CDIF_1147	2.3e-5
CDIF_1128	14	CDIF_1378	1e-6
CDIF_112	123	CDIF_1378	2e-6
CDIF_1130	2	CDIF_1231	4.26e-4
CDIF_1131	110	CDIF_1378	5e-6
CDIF_1132	46	CDIF_1147	0.001021
CDIF_1133	35	CDIF_1147	4.1799999999999e-4
CDIF_1134	53	CDIF_1147	3.3999999999999e-4
CDIF_1135	2	CDIF_1231	0.003009
CDIF_1135	2	CDIF_1147	1.05e-4
CDIF_1136	34	CDIF_1147	6.4e-5
CDIF_1137	58	CDIF_1378	6.78e-4
CDIF_1137	58	CDIF_1147	7.000000000000001e-6
CDIF_1138	35	CDIF_1378	5.0599999999999e-4
CDIF_1139	42	CDIF_1378	2.3999999999999e-4
CDIF_1139	42	CDIF_1147	4.7e-5
CDIF_113	3	CDIF_1378	4.2e-5
CDIF_113	3	CDIF_373	0.038646
CDIF_113	3	CDIF_1147	1.4e-5
CDIF_1140	83	CDIF_1378	7.3e-5
CDIF_1140	83	CDIF_1147	2.41e-4
CDIF_1141	8	CDIF_570	4.8e-5
CDIF_1142	3	CDIF_1378	3.71e-4
CDIF_1142	3	CDIF_1147	1e-6
CDIF_1143	63	CDIF_1378	1e-6
CDIF_1144	1	CDIF_1206	5.83e-4
CDIF_1144	1	CDIF_1378	2.4e-5
CDIF_1145	42	CDIF_1378	7.000000000000001e-6
CDIF_1146	17	CDIF_1147	5.84e-4
CDIF_1147	286	CDIF_1147	0.995776
CDIF_114	2	CDIF_1231	0.01292
CDIF_1150	1	CDIF_1378	7.000000000000001e-6
CDIF_1152	43	CDIF_1378	2.8999999999999997e-5
CDIF_1153	2	CDIF_1000	1e-6
CDIF_1155	2	CDIF_1231	0.00299
CDIF_1156	54	CDIF_1378	8e-6
CDIF_1156	54	CDIF_373	7.13e-4
CDIF_1157	2	CDIF_70	0.008129
CDIF_1157	2	CDIF_769	3.3999999999999e-4
CDIF_1159	42	CDIF_1378	2.2e-5
CDIF_115	3	CDIF_1378	1.4e-5
CDIF_115	3	CDIF_373	0.014437
CDIF_1160	42	CDIF_1378	1.7e-5
CDIF_1162	43	CDIF_1378	3.3e-5
