ref_strain	ST	test_strain	rel_abundance	snvs	same_strain
CDIF_1056	2	CDIF_70	0.022028	17	FALSE
CDIF_111	2	CDIF_70	0.033098	21	FALSE
CDIF_1052	2	CDIF_70	0.058225	35	FALSE
CDIF_1011	2	CDIF_70	0.226987	29	FALSE
CDIF_1048	2	CDIF_70	0.247596	30	FALSE
CDIF_70	2	CDIF_70	0.397736	0	TRUE
CDIF_1338	2	CDIF_769	3.9e-5	28	FALSE
CDIF_289	2	CDIF_769	2.3199999999999e-4	23	FALSE
CDIF_1656	2	CDIF_769	3.27e-4	32	FALSE
CDIF_1157	2	CDIF_769	3.3999999999999e-4	23	FALSE
CDIF_1225	2	CDIF_769	6.09e-4	26	FALSE
CDIF_111	2	CDIF_769	0.002176	31	FALSE
CDIF_1039	2	CDIF_769	0.00232	591	FALSE
CDIF_1056	2	CDIF_769	0.028245	25	FALSE
CDIF_769	2	CDIF_769	0.049716	0	TRUE
CDIF_1052	2	CDIF_769	0.080932	41	FALSE
CDIF_1011	2	CDIF_769	0.119354	35	FALSE
CDIF_1048	2	CDIF_769	0.196156	36	FALSE
CDIF_408	2	CDIF_769	0.519555	2	FALSE
CDIF_1065	110	CDIF_840	6.6e-5	17	FALSE
CDIF_1289	110	CDIF_840	1.29e-4	10	FALSE
CDIF_1551	110	CDIF_840	1.78e-4	10	FALSE
CDIF_1334	110	CDIF_840	2.8399999999999e-4	4	FALSE
CDIF_840	110	CDIF_840	0.019195	0	TRUE
CDIF_1241	110	CDIF_840	0.019597	5	FALSE
CDIF_1064	110	CDIF_840	0.036867	8	FALSE
CDIF_1063	110	CDIF_840	0.885533	8	FALSE
